sample_idx,sensor_idx,distance_cm,x_cm,y_cm,z_cm,pose_x_cm,pose_y_cm,pose_z_cm,heading_deg
12,9,643.780000,903.559000,2116.158000,29.999000,250.000000,1379.980000,29.999000,-87.600000
12,10,293.240000,304.250000,1996.033000,29.999000,250.000000,1379.980000,29.999000,-87.600000
12,11,290.540000,174.477000,1987.891000,29.999000,250.000000,1379.980000,29.999000,-87.600000
12,12,646.100000,-409.481000,2062.905000,29.999000,250.000000,1379.980000,29.999000,-87.600000
12,15,974.350000,796.624000,210.695000,29.999000,250.000000,1379.980000,29.999000,-87.600000
12,16,918.490000,-184.679000,223.570000,29.999000,250.000000,1379.980000,29.999000,-87.600000
13,1,534.080000,529.792000,594.403000,-152.667000,250.000000,1379.980000,29.999000,-87.600000
13,3,570.050000,26.704000,541.528000,-164.970000,250.000000,1379.980000,29.999000,-87.600000
13,4,891.640000,-397.410000,329.766000,29.999000,250.000000,1379.980000,29.999000,-87.600000
13,5,435.040000,355.054000,664.472000,-153.857000,250.000000,1379.980000,29.999000,-87.600000
13,6,441.490000,205.431000,652.350000,-156.583000,250.000000,1379.980000,29.999000,-87.600000
13,7,402.700000,864.551000,1365.703000,-107.733000,250.000000,1379.980000,29.999000,-87.600000
13,8,403.560000,-362.009000,1314.295000,-108.027000,250.000000,1379.980000,29.999000,-87.600000
13,9,643.780000,903.559000,2116.158000,29.999000,250.000000,1379.980000,29.999000,-87.600000
13,10,293.240000,304.250000,1996.033000,29.999000,250.000000,1379.980000,29.999000,-87.600000
13,11,290.540000,174.477000,1987.891000,29.999000,250.000000,1379.980000,29.999000,-87.600000
13,12,646.100000,-409.481000,2062.905000,29.999000,250.000000,1379.980000,29.999000,-87.600000
13,15,974.350000,796.624000,210.695000,29.999000,250.000000,1379.980000,29.999000,-87.600000
13,16,918.490000,-184.679000,223.570000,29.999000,250.000000,1379.980000,29.999000,-87.600000
14,1,534.080000,529.792000,594.403000,-152.667000,250.000000,1379.980000,29.999000,-87.600000
14,3,570.050000,26.704000,541.528000,-164.970000,250.000000,1379.980000,29.999000,-87.600000
14,4,891.640000,-397.410000,329.766000,29.999000,250.000000,1379.980000,29.999000,-87.600000
14,5,435.040000,355.054000,664.472000,-153.857000,250.000000,1379.980000,29.999000,-87.600000
14,6,441.490000,205.431000,652.350000,-156.583000,250.000000,1379.980000,29.999000,-87.600000
14,7,402.700000,864.551000,1365.703000,-107.733000,250.000000,1379.980000,29.999000,-87.600000
14,8,403.560000,-362.009000,1314.295000,-108.027000,250.000000,1379.980000,29.999000,-87.600000
14,9,643.780000,903.559000,2116.158000,29.999000,250.000000,1379.980000,29.999000,-87.600000
14,10,293.240000,304.250000,1996.033000,29.999000,250.000000,1379.980000,29.999000,-87.600000
14,11,290.540000,174.477000,1987.891000,29.999000,250.000000,1379.980000,29.999000,-87.600000
14,12,646.100000,-409.481000,2062.905000,29.999000,250.000000,1379.980000,29.999000,-87.600000
14,15,974.350000,796.624000,210.695000,29.999000,250.000000,1379.980000,29.999000,-87.600000
14,16,918.490000,-184.679000,223.570000,29.999000,250.000000,1379.980000,29.999000,-87.600000
15,1,534.230000,500.556000,577.709000,-152.719000,239.990000,1370.020000,29.999000,-89.000000
15,3,571.750000,-4.244000,535.762000,-165.551000,239.990000,1370.020000,29.999000,-89.000000
15,4,903.080000,-438.431000,325.930000,29.999000,239.990000,1370.020000,29.999000,-89.000000
15,5,435.300000,327.536000,651.922000,-153.967000,239.990000,1370.020000,29.999000,-89.000000
15,6,442.630000,177.675000,642.662000,-157.065000,239.990000,1370.020000,29.999000,-89.000000
15,7,403.630000,854.883000,1340.746000,-108.051000,239.990000,1370.020000,29.999000,-89.000000
15,8,403.910000,-373.769000,1319.300000,-108.146000,239.990000,1370.020000,29.999000,-89.000000
15,9,645.770000,912.593000,2091.556000,29.999000,239.990000,1370.020000,29.999000,-89.000000
15,10,290.910000,309.316000,1982.233000,29.999000,239.990000,1370.020000,29.999000,-89.000000
15,11,288.480000,179.378000,1977.534000,29.999000,239.990000,1370.020000,29.999000,-89.000000
15,12,641.330000,-399.480000,2065.252000,29.999000,239.990000,1370.020000,29.999000,-89.000000
15,13,971.920000,663.664000,152.797000,-138.773000,239.990000,1370.020000,29.999000,-89.000000
15,15,879.480000,731.734000,278.923000,29.999000,239.990000,1370.020000,29.999000,-89.000000
15,16,922.660000,-223.821000,220.529000,29.999000,239.990000,1370.020000,29.999000,-89.000000
16,1,534.230000,500.556000,577.709000,-152.719000,239.990000,1370.020000,29.999000,-89.000000
16,3,571.750000,-4.244000,535.762000,-165.551000,239.990000,1370.020000,29.999000,-89.000000
16,4,903.080000,-438.431000,325.930000,29.999000,239.990000,1370.020000,29.999000,-89.000000
16,5,435.300000,327.536000,651.922000,-153.967000,239.990000,1370.020000,29.999000,-89.000000
16,6,442.630000,177.675000,642.662000,-157.065000,239.990000,1370.020000,29.999000,-89.000000
16,7,403.630000,854.883000,1340.746000,-108.051000,239.990000,1370.020000,29.999000,-89.000000
